2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/projects/9mphynhm?tab=controls&view=default | Status: 200 | Size: 314939 bytes
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/tiny_custom.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/custom-grid.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/tiny_custom.css | Status: 304 | Size: 835 bytes
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/tags.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/main.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/js/field-transformers.js | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/js/common.js | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/custom-grid.css | Status: 304 | Size: 1011 bytes
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/tags.css | Status: 304 | Size: 1791 bytes
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/main.css | Status: 304 | Size: 212162 bytes
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/js/field-transformers.js | Status: 304 | Size: 15814 bytes
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/js/common.js | Status: 304 | Size: 6853 bytes
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/img/icon.png | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/img/icon.png | Status: 304 | Size: 35599 bytes
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/users/g2wvmqak/tenants | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/feature-flags | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/feature-flags | Status: 200 | Size: 3 bytes
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/users/g2wvmqak/tenants | Status: 200 | Size: 355 bytes
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm?summary=yes | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/tags | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/controls?stats=yes | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/policies | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/members | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/risks | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/tags | Status: 200 | Size: 3 bytes
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/evidence | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/policies | Status: 200 | Size: 652 bytes
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/members | Status: 200 | Size: 118 bytes
2025-06-22 01:39:39 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/risks | Status: 200 | Size: 3 bytes
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/comments | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/history | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:39 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/users/g2wvmqak/tenants/nhqmzvcx/roles | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:40 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/history | Status: 200 | Size: 1503 bytes
2025-06-22 01:39:40 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/img/icon.png | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:40 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/img/icon.png | Status: 304 | Size: 35599 bytes
2025-06-22 01:39:40 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/users/g2wvmqak/tenants/nhqmzvcx/roles | Status: 200 | Size: 3 bytes
2025-06-22 01:39:40 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/comments | Status: 200 | Size: 3 bytes
2025-06-22 01:39:41 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/evidence | Status: 200 | Size: 335150 bytes
2025-06-22 01:39:41 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm?summary=yes | Status: 200 | Size: 1165 bytes
2025-06-22 01:39:55 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/projects/9mphynhm/controls?stats=yes | Status: 200 | Size: 12514024 bytes
2025-06-22 01:42:09 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/health | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:42:09 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/health | Status: 200 | Size: 22 bytes
2025-06-22 01:42:09 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/tenants | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:42:10 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/tenants | Status: 200 | Size: 3146 bytes
2025-06-22 01:42:10 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:42:10 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm | Status: 200 | Size: 931 bytes
2025-06-22 01:42:10 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:42:26 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls | Status: 200 | Size: 12514024 bytes
2025-06-22 01:42:26 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?limit=10 | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:42:42 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?limit=10 | Status: 200 | Size: 12514024 bytes
2025-06-22 01:42:42 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?page=1 | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:42:58 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?page=1 | Status: 200 | Size: 12514024 bytes
2025-06-22 01:42:58 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?status=completed | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:43:13 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?status=completed | Status: 200 | Size: 12514024 bytes
2025-06-22 01:43:13 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?framework=soc2 | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:43:27 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?framework=soc2 | Status: 200 | Size: 12514024 bytes
2025-06-22 01:46:22 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/health | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:46:22 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/health | Status: 200 | Size: 22 bytes
2025-06-22 01:46:22 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/tenants | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:46:22 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/tenants | Status: 200 | Size: 3146 bytes
2025-06-22 01:46:22 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:46:22 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm | Status: 200 | Size: 931 bytes
2025-06-22 01:46:22 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:46:37 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls | Status: 200 | Size: 12514024 bytes
2025-06-22 01:46:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?limit=10 | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:46:52 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?limit=10 | Status: 200 | Size: 12514024 bytes
2025-06-22 01:46:52 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?page=1 | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:47:07 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?page=1 | Status: 200 | Size: 12514024 bytes
2025-06-22 01:47:07 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?status=completed | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:47:22 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?status=completed | Status: 200 | Size: 12514024 bytes
2025-06-22 01:47:22 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?framework=soc2 | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:47:36 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?framework=soc2 | Status: 200 | Size: 12514024 bytes
2025-06-22 01:47:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?search=access | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:47:50 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?search=access | Status: 200 | Size: 12514024 bytes
2025-06-22 01:47:50 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?sort=title | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:48:03 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?sort=title | Status: 200 | Size: 12514024 bytes
2025-06-22 01:48:03 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?limit=5&page=1&sort=title | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:48:17 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls?limit=5&page=1&sort=title | Status: 200 | Size: 12514024 bytes
2025-06-22 01:48:17 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/projects/9mphynhm/controls | IP: 127.0.0.1 | User-Agent: axios/1.10.0
2025-06-22 01:48:30 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/projects/9mphynhm/controls | Status: 200 | Size: 12514024 bytes
2025-06-22 02:02:05 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/.well-known/appspecific/com.chrome.devtools.json | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 02:02:05 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/custom-grid.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 02:02:05 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/tiny_custom.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 02:02:05 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/tags.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 02:02:06 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/main.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 02:02:06 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/custom-grid.css | Status: 304 | Size: 1011 bytes
2025-06-22 02:02:06 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/tiny_custom.css | Status: 304 | Size: 835 bytes
2025-06-22 02:02:06 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/tags.css | Status: 304 | Size: 1791 bytes
2025-06-22 02:02:06 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/main.css | Status: 304 | Size: 212162 bytes
2025-06-22 02:02:06 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Size: 2570 bytes
2025-06-22 02:02:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/projects/9mphynhm?tab=controls&view=default | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 02:02:37 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/projects/9mphynhm?tab=controls&view=default | Status: 200 | Size: 314385 bytes
2025-06-22 02:02:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/.well-known/appspecific/com.chrome.devtools.json | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
